"","x"
"V1281",12.5683372
"V1282",-95.712891
"V1283",-97.8019515
"V1284",-85.6023643
"V1285",-77.0368707
"V1286",-81.3792365
"V1287",-77.0368707
"V1288",-122.0307963
"V1289",-81.1637245
"V1290",-77.0368707
"V1291",-99.9018131
"V1292",-95.712891
"V1293",-71.3161718
"V1294",-76.6412712
"V1295",-77.0368707
"V1296",-80.085059
"V1297",-87.6297982
"V1298",-83.8305144
"V1299",-94.8191285
"V1300",-99.9018131
"V1301",-120.5542012
"V1302",-77.0368707
"V1303",-78.7030721
"V1304",-117.1610838
"V1305",-0.635502
"V1306",-95.3698028
"V1307",-81.5157535
"V1308",-117.0841955
"V1309",-81.3792365
"V1310",-98.4842465
"V1311",-77.1945247
"V1312",-3.435973
"V1313",-147.7163888
"V1314",-116.419389
"V1315",-95.712891
"V1316",-100.3161126
"V1317",-83.5101638
"V1318",-75.1652215
"V1319",-117.2728752
"V1320",-76.6412712
"V1321",-94.5785667
"V1322",-117.4260465
"V1323",-84.3879824
"V1324",-71.4372796
"V1325",-118.2436849
"V1326",-95.712891
"V1327",-92.1974065
"V1328",-112.0740373
"V1329",-93.2650108
"V1330",-95.712891
"V1331",-112.4069754
"V1332",-82.4734787
"V1333",-74.924321
"V1334",-74.297333
"V1335",-74.0059728
"V1336",-77.0368707
"V1337",-79.8284258
"V1338",-82.907123
"V1339",-86.902298
"V1340",-76.727745
"V1341",-77.4105409
"V1342",-93.6091064
"V1343",-86.902298
"V1344",-118.1937395
"V1345",-80.100598
"V1346",-95.90194
"V1347",-84.1722394
"V1348",-111.8910474
"V1349",-111.8879909
"V1350",-1.2794744
"V1351",-3.74922
"V1352",-94.9630171
"V1353",-97.5164276
"V1354",-122.9888319
"V1355",-74.0059728
"V1356",-87.5691735
"V1357",-71.5500276
"V1358",-90.230759
"V1359",-106.346771
"V1360",-69.4454689
"V1361",-74.0059728
"V1362",-81.0348144
"V1363",-0.8890853
"V1364",3.3792057
"V1365",-83.2218731
"V1366",0.614665
"V1367",-77.1945247
"V1368",-117.1610966
"V1369",175.6075114
"V1370",-77.026088
"V1371",-82.949305
"V1372",-84.3879824
"V1373",-96.9253004
"V1374",-93.6018389
"V1375",-76.4730122
"V1376",-119.4179324
"V1377",-77.3063733
"V1378",-74.0059728
"V1379",-122.3320708
"V1380",-95.3698028
"V1381",-104.990251
"V1382",-3.74922
"V1383",-94.4155068
"V1384",-77.1945247
"V1385",-75.8813075
"V1386",-71.067605
"V1387",-0.1277583
"V1388",-121.4943996
"V1389",5.1214201
"V1390",-106.346771
"V1391",-87.6297982
"V1392",-97.0969552
"V1393",-99.133208
"V1394",-1.2577263
"V1395",3.3792057
"V1396",-79.6903316
"V1397",-79.9958864
"V1398",-73.9441579
"V1399",-80.1373174
