"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x972219187920887813",2018-03-09 21:14:52,"x49725768","emergentbiosolu","Thanks to award-winning author John Barry for meeting with the Emergent team and sharing his insights on #influenza #pandemics and for a great event at Smithsonian's @NMNH last Wednesday https://t.co/pJpE755h9g","Hootsuite",,,,FALSE,FALSE,1,1,"influenza pandemics",,,,,"http://pbs.twimg.com/media/DX4EMr7X0AIZ-jJ.jpg","https://t.co/pJpE755h9g","https://twitter.com/emergentbiosolu/status/972219187920887813/photo/1","photo","http://pbs.twimg.com/media/DX4EMr7X0AIZ-jJ.jpg","https://t.co/pJpE755h9g","https://twitter.com/emergentbiosolu/status/972219187920887813/photo/1",,"x14207863","NMNH","en",,,,,,,,,,,,,
"x972219183281967109",2018-03-09 21:14:50,"x828696274983591937","o_plaisance","Did you know:  The Swine Flu vaccine in 1976 caused more death N illness than the disease it was intended 2 prevent.                                                 Was consoled once in 1976 b/c I refused 2take this mandatory shot while on active duty. Three ppl died after my no.","Twitter for iPhone",,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x972219142483955713",2018-03-09 21:14:41,"x972211141010165761","SethMac93342512","RT @SethMacFarlane: We so foolishly disrespect science and scientists in this country — that is until we really get in a fix and then of co…","Twitter for Android",,,,FALSE,TRUE,0,1308,,,,,,,,,,,,,,"x18948541","SethMacFarlane","en",,,"x956962653733191681","We so foolishly disrespect science and scientists in this country — that is until we really get in a fix and then of course go running to science for help.  It’s the single greatest tool humanity has ever conceived, so let’s start treating it that way.
https://t.co/6j8KKC6n7R",,,,,,,,,
"x972219106098335745",2018-03-09 21:14:32,"x17427991","Immunize_USA","Texas was among the first states to experience high rates of #flu -- but not among the first to see reduced levels. The latest CDC map shows it in red, for highest levels of flu activity. It is still time to #vaccinate!  https://t.co/a4gcZchyhs https://t.co/pAmGMIDMPS","Hootsuite",,,,FALSE,FALSE,0,2,"flu vaccinate",,"ow.ly/I8ZA30iRwR0","https://t.co/a4gcZchyhs","http://ow.ly/I8ZA30iRwR0","http://pbs.twimg.com/media/DX4EH8BW4AAlPxu.jpg","https://t.co/pAmGMIDMPS","https://twitter.com/Immunize_USA/status/972219106098335745/photo/1","photo","http://pbs.twimg.com/media/DX4EH8BW4AAlPxu.jpg","https://t.co/pAmGMIDMPS","https://twitter.com/Immunize_USA/status/972219106098335745/photo/1",,,,"en",,,,,,,,,,,,,
"x972219088541011968",2018-03-09 21:14:28,"x788013643","InterviewCoachD","RT @fastraining: My journey continues. Another course another #sepsis session. More eyes opened and eyebrows raised on what this is all abo…","Twitter for iPhone",,,,FALSE,TRUE,0,1,"sepsis",,,,,,,,,,,,,"x2896306619","fastraining","en",,,"x972214687378165760","My journey continues. Another course another #sepsis session. More eyes opened and eyebrows raised on what this is all about. It's not flu, it's sepsis. I ask what it is and they reply"" infection"" I reply ""caused by what?"". The room is Silent. #awareness",,,,,,,,,
"x972219048074338309",2018-03-09 21:14:18,"x112291006","WisconsinMC","RT @WISafetyCouncil: Flu Season Tip: Make sure you are getting adequate rest. #SafetyFirst. https://t.co/ThNaT3WDvW","Twitter Web Client",,,,FALSE,TRUE,0,1,"SafetyFirst",,,,,"http://pbs.twimg.com/media/DX3zXoQW0AEcXYp.jpg","https://t.co/ThNaT3WDvW","https://twitter.com/WISafetyCouncil/status/972200685067530245/photo/1","photo","http://pbs.twimg.com/media/DX3zXoQW0AEcXYp.jpg","https://t.co/ThNaT3WDvW","https://twitter.com/WISafetyCouncil/status/972200685067530245/photo/1",,"x516643645","WISafetyCouncil","en",,,"x972200685067530245","Flu Season Tip: Make sure you are getting adequate rest. #SafetyFirst. https://t.co/ThNaT3WDvW",,,,,,,,,
"x972219029749297154",2018-03-09 21:14:14,"x3850405159","LittleDove_blog","RT @Katie_Lovelyy: Beat cold and flu season by keeping @kleenex Germ Removal wipes in your purse and wiping off surfaces while you're out a…","Twitter Web Client",,,,FALSE,TRUE,0,8,,,,,,,,,,,,,,"x26050957 485071945","Katie_Lovelyy Kleenex","en",,,"x970841693980413953","Beat cold and flu season by keeping @kleenex Germ Removal wipes in your purse and wiping off surfaces while you're out and about! Head here: https://t.co/0gBONhY1bu

#ad #KleenexWetWipes https://t.co/P0hjzn5TXh",,,,,,,,,
"x972219029569114114",2018-03-09 21:14:14,"x863840354","alicia_macinnis","Deciding to work today and tomorrow when I'm still not over the flu was not my wisest choice 😷","Twitter for iPhone",,,,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x972219011533557760",2018-03-09 21:14:09,"x112291006","WisconsinMC","RT @WISafetyCouncil: According to the Centers for Disease Control and Prevention, 5 -20% of the U.S. population catches the flu annually. S…","Twitter Web Client",,,,FALSE,TRUE,0,1,,,,,,,,,,,,,,"x516643645","WISafetyCouncil","en",,,"x972216741324615682","According to the Centers for Disease Control and Prevention, 5 -20% of the U.S. population catches the flu annually. Stay safe out there. #SafetyFirst. https://t.co/IEePdkGyDK",,,,,,,,,
"x972218884416827393",2018-03-09 21:13:39,"x17601196","SpecNewsILM","RT @wxcrum: Finally, a solid shift of flu reports across the country.  NC, however, still widespread reports of flu. #cltwx #ncwx #wncwx #T…","SocialNewsDesk",,,,FALSE,TRUE,0,5,"cltwx ncwx wncwx",,,,,,,,,,,,,"x298085935","wxcrum","en",,,"x972214758031142912","Finally, a solid shift of flu reports across the country.  NC, however, still widespread reports of flu. #cltwx #ncwx #wncwx #Triadwx #SpecNewsCLT #SpecNewsTriad https://t.co/E5OciXBYC4",,,,,,,,,
